id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,first_completed_date,vehicle_make,vehicle_model,vehicle_year
1,Vila Rica,windows,Organic,1/3/23,1/5/23,1/12/23,2/1/23,Toyota,Camry,2014.0
2,Vila Rica,other,Paid,1/23/23,,,,,,
3,Vale do Sol,ios web,Referral,1/21/23,,,,,,
4,Vale do Sol,android web,Paid,1/17/23,,,,,,
5,Vila Rica,android web,Organic,1/20/23,1/22/23,1/29/23,2/6/23,Subaru,Forester,2016.0
6,Porto Seguro,android web,Paid,1/24/23,1/24/23,1/26/23,,Ford,Fusion,2014.0
7,Vale do Sol,ios web,Referral,1/3/23,,,,,,
8,Porto Seguro,mac,Organic,1/19/23,,,,,,
9,Vila Rica,ios web,Referral,1/2/23,1/6/23,1/9/23,,Nissan,Sentra,2016.0
10,Vale do Sol,android web,Organic,1/29/23,2/2/23,2/8/23,2/12/23,Infiniti,FX,2008.0
11,Vila Rica,android web,Referral,1/29/23,1/29/23,,,,,
12,Vale do Sol,mac,Referral,1/3/23,1/7/23,,,,,
13,Vale do Sol,android web,Referral,1/26/23,2/1/23,2/3/23,2/4/23,Ford,Fusion,2016.0
14,Vila Rica,android web,Organic,1/10/23,,,,,,
15,Porto Seguro,mac,Paid,1/10/23,1/14/23,,,,,
16,Vale do Sol,mac,Paid,1/27/23,,,,,,
17,Vale do Sol,ios web,Paid,1/29/23,1/29/23,,,,,
18,Vila Rica,ios web,Paid,1/20/23,,,,,,
19,Vila Rica,ios web,Organic,1/17/23,1/20/23,,,,,
20,Vale do Sol,windows,Referral,1/11/23,,,,,,
21,Vila Rica,android web,Referral,1/22/23,,,,,,
22,Vila Rica,ios web,Paid,1/6/23,1/6/23,1/7/23,1/10/23,Toyota,Prius V,2013.0
23,Vale do Sol,windows,Organic,1/23/23,1/25/23,1/26/23,,Toyota,Camry,2014.0
24,Vale do Sol,windows,Referral,1/17/23,1/19/23,,,,,
25,Vale do Sol,ios web,Referral,1/21/23,,,,,,
26,Porto Seguro,android web,Referral,1/9/23,,,,,,
27,Vila Rica,windows,Paid,1/3/23,1/3/23,1/3/23,1/6/23,Toyota,Prius,2008.0
28,Vila Rica,android web,Referral,1/4/23,,,,,,
29,Vila Rica,ios web,Paid,1/7/23,,,,,,
30,Vila Rica,android web,Organic,1/31/23,1/31/23,1/31/23,1/31/23,Mercedes-Benz,C-Class,2006.0
31,Porto Seguro,mac,Paid,1/11/23,1/13/23,,,,,
32,Porto Seguro,android web,Paid,1/1/23,1/2/23,1/7/23,,Hyundai,Accent,2013.0
33,Vale do Sol,ios web,Paid,1/19/23,1/24/23,,,,,
34,Vale do Sol,windows,Organic,1/25/23,,,,,,
35,Porto Seguro,mac,Paid,1/23/23,1/27/23,1/30/23,,Audi,A4,2007.0
36,Vale do Sol,windows,Paid,1/2/23,,,,,,
37,Porto Seguro,android web,Paid,1/2/23,1/3/23,1/3/23,1/4/23,Honda,Accord,2004.0
38,Porto Seguro,ios web,Paid,1/15/23,1/15/23,1/17/23,,Hyundai,Tucson,2015.0
39,Vila Rica,windows,Referral,1/17/23,1/18/23,,,,,
40,Porto Seguro,android web,Paid,1/21/23,,,,,,
41,Vale do Sol,android web,Paid,1/30/23,,,,,,
42,Vale do Sol,ios web,Organic,1/26/23,1/31/23,1/31/23,2/2/23,Toyota,Corolla,2013.0
43,Vila Rica,other,Organic,1/24/23,1/27/23,,,,,
44,Porto Seguro,ios web,Referral,1/29/23,,,,,,
